emd_cd,emd_eng_nm,법정구명,emd_kor_nm,val1
11560124,Mullae-dong 6(yuk)-ga, 영등포구,문래동6가,84
11560125,Yangpyeong-dong 1(il)-ga, 영등포구,양평동1가,108
11560126,Yangpyeong-dong 2(i)-ga, 영등포구,양평동2가,427
11560127,Yangpyeong-dong 3(sam)-ga, 영등포구,양평동3가,93
11560128,Yangpyeong-dong 4(sa)-ga, 영등포구,양평동4가,95
11560129,Yangpyeong-dong 5(o)-ga, 영등포구,양평동5가,98
11560130,Yangpyeong-dong 6(yuk)-ga, 영등포구,양평동6가,100
11560131,Yanghwa-dong, 영등포구,양화동,101
11560132,Singil-dong, 영등포구,신길동,102
11560133,Daerim-dong, 영등포구,대림동,104
11560134,Yangpyeong-dong, 영등포구,양평동,105
11590101,Noryangjin-dong, 동작구,노량진동,107
11590102,Sangdo-dong, 동작구,상도동,109
11590103,Sangdo 1(il)-dong, 동작구,상도1동,110
11590104,Bon-dong, 동작구,본동,111
11590105,Heukseok-dong, 동작구,흑석동,112
11590106,Dongjak-dong, 동작구,동작동,113
11590107,Sadang-dong, 동작구,사당동,114
11590108,Daebang-dong, 동작구,대방동,115
11590109,Sindaebang-dong, 동작구,신대방동,116
11620101,Bongcheon-dong, 관악구,봉천동,117
11620102,Sillim-dong, 관악구,신림동,118
11620103,Namhyeon-dong, 관악구,남현동,119
11650101,Bangbae-dong, 서초구,방배동,120
11650102,Yangjae-dong, 서초구,양재동,121
11650103,Umyeon-dong, 서초구,우면동,123
11650104,Wonji-dong, 서초구,원지동,124
11650106,Jamwon-dong, 서초구,잠원동,476
11650107,Banpo-dong, 서초구,반포동,126
11650108,Seocho-dong, 서초구,서초동,127
11650109,Naegok-dong, 서초구,내곡동,129
11650110,Yeomgok-dong, 서초구,염곡동,96
11650111,Sinwon-dong, 서초구,신원동,97
11680101,Yeoksam-dong, 강남구,역삼동,99
11680103,Gaepo-dong, 강남구,개포동,130
11680104,Cheongdam-dong, 강남구,청담동,131
11680105,Samseong-dong, 강남구,삼성동,122
11680106,Daechi-dong, 강남구,대치동,133
11680107,Sinsa-dong, 강남구,신사동,134
11680108,Nonhyeon-dong, 강남구,논현동,135
11680110,Apgujeong-dong, 강남구,압구정동,136
11680111,Segok-dong, 강남구,세곡동,138
11680112,Jagok-dong, 강남구,자곡동,125
11680113,Yulhyeon-dong, 강남구,율현동,139
11680114,Irwon-dong, 강남구,일원동,140
11680115,Suseo-dong, 강남구,수서동,142
11680118,Dogok-dong, 강남구,도곡동,128
11710101,Jamsil-dong, 송파구,잠실동,137
11710102,Sincheon-dong, 송파구,신천동,143
11710103,Pungnap-dong, 송파구,풍납동,144
11710104,Songpa-dong, 송파구,송파동,145
11710105,Seokchon-dong, 송파구,석촌동,146
11710106,Samjeon-dong, 송파구,삼전동,290
11710107,Garak-dong, 송파구,가락동,147
11710108,Munjeong-dong, 송파구,문정동,148
11710109,Jangji-dong, 송파구,장지동,150
11710111,Bangi-dong, 송파구,방이동,151
11710112,Ogeum-dong, 송파구,오금동,347
11710113,Geoyeo-dong, 송파구,거여동,152
11710114,Macheon-dong, 송파구,마천동,154
11740101,Myeongil-dong, 강동구,명일동,156
11740102,Godeok-dong, 강동구,고덕동,158
11740103,Sangil-dong, 강동구,상일동,159
11740105,Gil-dong, 강동구,길동,168
11740106,Dunchon-dong, 강동구,둔촌동,169
11740107,Amsa-dong, 강동구,암사동,170
11740108,Seongnae-dong, 강동구,성내동,171
11740109,Cheonho-dong, 강동구,천호동,172
11740110,Gangil-dong, 강동구,강일동,173
11000000,,,서울특별시,
11110000,,,종로구,
